epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.95753,0.69295,0.63793,1,0.64624,0.0910225,2.25e-05,2.25e-05
2,5.26721,0.59977,0.65517,1,0.59741,0.0810473,4.73119e-05,4.73119e-05
3,7.64015,0.55021,0.65517,1,0.5603,0.0710719,7.19258e-05,7.19258e-05
4,9.94816,0.50241,0.75862,1,0.50354,0.0610963,9.63417e-05,9.63417e-05
5,12.3132,0.45133,0.82759,1,0.4248,0.0511206,0.00012056,0.00012056
6,14.6348,0.39161,0.82759,1,0.36328,0.0411446,0.000144579,0.000144579
7,16.9503,0.37143,0.84483,1,0.35938,0.0311684,0.000168401,0.000168401
8,19.198,0.31535,0.82759,1,0.37781,0.021192,0.000192025,0.000192025
9,21.1837,0.3502,0.86207,1,0.35522,0.0112155,0.000215451,0.000215451
10,23.5891,0.2759,0.87931,1,0.33435,0.00123868,0.000238679,0.000238679
11,25.8711,0.25847,0.89655,1,0.32159,0.0002401,0.0002401,0.0002401
12,28.3063,0.22829,0.91379,1,0.28296,0.00023911,0.00023911,0.00023911
13,30.603,0.27802,0.89655,1,0.26221,0.00023812,0.00023812,0.00023812
14,32.5213,0.30681,0.89655,1,0.27252,0.00023713,0.00023713,0.00023713
15,34.4932,0.23314,0.87931,1,0.26025,0.00023614,0.00023614,0.00023614
16,36.4921,0.20701,0.84483,1,0.26837,0.00023515,0.00023515,0.00023515
17,38.5859,0.19123,0.84483,1,0.28735,0.00023416,0.00023416,0.00023416
18,40.619,0.23217,0.86207,1,0.29883,0.00023317,0.00023317,0.00023317
19,42.531,0.19196,0.89655,1,0.28116,0.00023218,0.00023218,0.00023218
20,44.5914,0.16292,0.87931,1,0.35913,0.00023119,0.00023119,0.00023119
21,46.5853,0.16221,0.89655,1,0.34387,0.0002302,0.0002302,0.0002302
22,48.5949,0.18125,0.93103,1,0.3927,0.00022921,0.00022921,0.00022921
23,50.9168,0.17139,0.93103,1,0.35663,0.00022822,0.00022822,0.00022822
24,53.1924,0.15335,0.91379,1,0.42261,0.00022723,0.00022723,0.00022723
25,55.0793,0.17525,0.91379,1,0.42468,0.00022624,0.00022624,0.00022624
26,57.0696,0.0977,0.89655,1,0.48352,0.00022525,0.00022525,0.00022525
27,58.9865,0.13601,0.89655,1,0.44006,0.00022426,0.00022426,0.00022426
28,60.9427,0.10771,0.89655,1,0.36157,0.00022327,0.00022327,0.00022327
29,62.8286,0.10762,0.89655,1,0.33691,0.00022228,0.00022228,0.00022228
30,64.7928,0.08679,0.87931,1,0.30121,0.00022129,0.00022129,0.00022129
31,66.7004,0.15017,0.87931,1,0.31183,0.0002203,0.0002203,0.0002203
32,68.8515,0.14904,0.91379,1,0.27667,0.00021931,0.00021931,0.00021931
33,70.8334,0.11651,0.93103,1,0.28589,0.00021832,0.00021832,0.00021832
34,73.2319,0.06532,0.91379,1,0.24713,0.00021733,0.00021733,0.00021733
35,75.1972,0.12505,0.93103,1,0.26715,0.00021634,0.00021634,0.00021634
