epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43515,1.47861,3.5248,1.53621,0.00333,1,0.97192,0.53662,0.54127,3.35676,0.95581,0.00012,0.00012,0.00012
2,7.52465,0.53725,1.84579,0.88886,0.00965,1,0.995,0.90177,0.4512,2.26763,0.77085,0.000256783,0.000256783,0.000256783
3,10.5384,0.38126,1.00884,0.81062,1,0.99647,0.995,0.92548,0.36641,2.16022,0.75824,0.0003901,0.0003901,0.0003901
4,13.4833,0.42054,0.99508,0.83945,0.98826,1,0.995,0.9565,0.32031,1.90041,0.75147,0.000519953,0.000519953,0.000519953
5,16.489,0.43333,0.96937,0.83116,0.98803,1,0.995,0.94302,0.35878,1.78915,0.76343,0.00064634,0.00064634,0.00064634
6,19.3046,0.38372,0.95637,0.82858,0.99325,1,0.995,0.90748,0.4917,1.58437,0.80358,0.000769263,0.000769263,0.000769263
7,44.1212,0.36901,0.85964,0.81583,0.99588,1,0.995,0.91376,0.37209,1.13052,0.76291,0.00088872,0.00088872,0.00088872
8,46.9062,0.37098,0.86259,0.81572,0.99547,1,0.995,0.937,0.3006,1.2417,0.75097,0.00100471,0.00100471,0.00100471
9,49.6897,0.35735,0.82788,0.83268,0.99509,1,0.995,0.96267,0.30771,1.26069,0.7544,0.00111724,0.00111724,0.00111724
10,52.5305,0.34325,0.7455,0.82231,0.99708,1,0.995,0.97963,0.30444,1.29022,0.74722,0.0012263,0.0012263,0.0012263
11,55.5352,0.36521,0.79707,0.82695,0.99738,1,0.995,0.92416,0.44235,1.21492,0.79094,0.0013319,0.0013319,0.0013319
12,58.2695,0.35839,0.74822,0.81704,0.99634,1,0.995,0.98428,0.2706,1.02191,0.74453,0.00143403,0.00143403,0.00143403
13,61.0101,0.34977,0.67323,0.81908,0.99678,1,0.995,0.96925,0.31718,1.07105,0.75199,0.0015327,0.0015327,0.0015327
14,63.697,0.3613,0.69956,0.83268,0.99707,1,0.995,0.92171,0.39805,1.05154,0.75805,0.0016279,0.0016279,0.0016279
15,66.4232,0.32815,0.64129,0.83948,0.99751,1,0.995,0.96126,0.33484,0.69653,0.75116,0.0016535,0.0016535,0.0016535
16,69.1582,0.33279,0.64849,0.82798,0.99777,1,0.995,0.97909,0.30728,0.62996,0.74655,0.00162875,0.00162875,0.00162875
17,71.8422,0.31365,0.62659,0.80601,0.99728,1,0.995,0.92747,0.3663,0.6104,0.75491,0.001604,0.001604,0.001604
18,74.6225,0.35316,0.63652,0.83071,0.99756,1,0.995,0.91576,0.34673,0.61495,0.74567,0.00157925,0.00157925,0.00157925
19,77.2835,0.34899,0.60509,0.83739,0.99755,1,0.995,0.90822,0.35756,0.55244,0.75085,0.0015545,0.0015545,0.0015545
20,79.9754,0.31447,0.56902,0.81918,0.99784,1,0.995,0.95232,0.33235,0.47781,0.74728,0.00152975,0.00152975,0.00152975
21,82.5905,0.3171,0.56793,0.81648,0.99784,1,0.995,0.995,0.28408,0.46543,0.7446,0.001505,0.001505,0.001505
22,85.3817,0.31261,0.54932,0.80534,0.99796,1,0.995,0.92404,0.25789,0.43083,0.74255,0.00148025,0.00148025,0.00148025
23,88.0659,0.29624,0.51527,0.81869,0.99811,1,0.995,0.98069,0.254,0.36523,0.74113,0.0014555,0.0014555,0.0014555
24,90.747,0.30582,0.52662,0.82267,0.99811,1,0.995,0.93227,0.29798,0.35704,0.74664,0.00143075,0.00143075,0.00143075
25,93.3736,0.3161,0.49866,0.81958,0.9981,1,0.995,0.94088,0.31621,0.36825,0.74531,0.001406,0.001406,0.001406
26,96.0262,0.31404,0.49978,0.83367,0.9981,1,0.995,0.98344,0.29374,0.37762,0.75078,0.00138125,0.00138125,0.00138125
27,98.9039,0.29635,0.47953,0.83066,0.99814,1,0.995,0.93968,0.27555,0.38291,0.74018,0.0013565,0.0013565,0.0013565
28,101.586,0.30145,0.49882,0.83405,0.998,1,0.995,0.9401,0.32144,0.37927,0.74792,0.00133175,0.00133175,0.00133175
29,104.289,0.28712,0.44506,0.79823,0.99797,1,0.995,0.95881,0.29729,0.36587,0.74545,0.001307,0.001307,0.001307
30,106.97,0.29828,0.46575,0.81125,0.9981,1,0.995,0.93522,0.27435,0.37722,0.74193,0.00128225,0.00128225,0.00128225
31,109.673,0.29493,0.45749,0.82435,0.99811,1,0.995,0.95141,0.25989,0.33133,0.74364,0.0012575,0.0012575,0.0012575
32,112.345,0.28679,0.4467,0.82863,0.99809,1,0.995,0.99122,0.26775,0.34486,0.7442,0.00123275,0.00123275,0.00123275
33,114.992,0.28167,0.42079,0.80316,0.99811,1,0.995,0.98958,0.25955,0.37788,0.74004,0.001208,0.001208,0.001208
34,117.674,0.27607,0.42066,0.80646,0.99815,1,0.995,0.995,0.21413,0.35078,0.7362,0.00118325,0.00118325,0.00118325
35,120.409,0.2729,0.40455,0.81042,0.99814,1,0.995,0.98983,0.21889,0.32711,0.73865,0.0011585,0.0011585,0.0011585
36,123.08,0.28256,0.41078,0.8129,0.99816,1,0.995,0.99176,0.22917,0.32315,0.7406,0.00113375,0.00113375,0.00113375
